,price,total_square,rooms,floor,distance_to_center
0,63000000,137,3,6,2.995620531342759
1,3250000,16,1,1,29.3375854705917
2,16004680,76,3,6,20.974610791477886
3,7841776,24,1,10,21.128047370872725
4,120000000,126,3,16,10.07935417124405
5,13300000,74,3,14,24.849715868894346
6,9500000,65,2,3,24.80868241907651
7,15000000,87,3,11,26.93290909731231
8,7135671,35,2,11,22.482892610661025
9,31500000,68,2,4,7.585774055276078
10,20700000,74,3,14,15.071453194734026
11,13442826,51,2,21,6.623861189581207
12,14000000,53,2,14,22.85399429687883
13,7200000,34,1,16,22.670047649090698
14,11800000,50,1,12,16.876627514681317
15,7550000,42,1,8,21.054464220244714
16,111264064,107,2,2,2.1509833791445194
17,65000000,97,2,4,8.241441375184843
18,37569823,140,4,12,22.654612425164274
19,9700000,36,1,11,15.277334223803159
20,11500000,42,1,10,19.95522161781374
21,8800000,52,2,3,24.781665224481973
22,20640000,37,1,17,7.585774055276078
23,27500000,114,3,6,15.359346610484057
24,11500000,45,2,2,15.446044031677427
25,18900000,59,3,3,14.501762300546442
26,170663394,154,3,16,2.654139786203332
27,15700000,92,3,4,21.405755419289207
28,23123514,66,2,19,5.270756732748516
29,12500000,75,3,7,25.748831981794474
30,11218713,39,1,24,19.1632221502254
31,15000000,52,2,5,9.625736029215378
32,65000000,142,5,3,7.314078950824096
33,7026534,20,1,3,8.226950114961134
34,11300000,37,2,8,10.496816434563724
35,10260000,54,2,2,27.965620169622053
36,19362780,62,2,20,5.811455882274713
37,25856480,64,2,19,5.113255089717358
38,50000000,120,3,24,10.814027594174052
39,12925115,35,1,7,11.692509594198537
40,6600000,39,1,12,22.34636428765645
41,7199603,20,1,24,8.226950114961134
42,13550000,63,3,4,15.176615644843725
43,22050000,46,2,5,7.585774055276078
44,10200000,34,1,8,22.653301646391434
45,8300000,38,1,8,16.609197359231857
46,13500000,68,3,3,13.997535176618847
47,12212640,55,2,21,23.563340660550637
48,14400000,86,3,12,31.80904328849303
49,24105540,47,1,2,9.812438443836305
50,18300000,73,3,5,13.171456993730716
51,14675000,81,3,19,18.82338224577527
52,30142700,40,1,9,2.746308106337452
53,8600000,31,1,9,21.18498767182911
54,10788015,34,1,13,13.249966976188151
55,46850000,70,2,19,9.689648538623997
56,8900000,34,1,2,20.533881467728197
57,14500000,89,3,1,26.20501522031679
58,17900000,105,3,2,17.631181761972492
59,15700000,66,3,9,8.397461064544881
60,19260000,38,1,11,7.585774055276078
61,15500000,32,1,11,2.5804504378055952
62,16500000,68,3,4,8.22969601594964
63,198915500,162,4,13,6.601109733819758
64,28500000,67,2,8,4.960729881135141
65,14523000,44,1,3,10.692373625116344
66,68931120,57,1,2,1.657443793685977
67,6400000,29,1,2,16.757751119625905
68,14139310,73,3,16,16.941934857410857
69,18192360,45,2,20,10.927793783014152
70,9700000,38,1,14,23.872580279776873
71,6600000,34,1,10,23.127319132828028
72,17500000,55,2,12,15.037979986365434
73,6650384,54,2,19,23.047884073195434
74,73000000,129,3,8,6.372148730801347
75,10900000,33,1,6,15.881598456854853
76,35000000,100,4,2,9.444125776338002
77,10569641,25,1,30,10.965262342728414
78,125000000,160,4,2,2.2054480640931904
79,17097300,82,4,7,21.058957935821685
80,10307606,25,1,14,10.965262342728414
81,59000000,118,4,2,2.9810391062164445
82,33200000,81,3,4,7.0424122252267205
83,12490000,40,3,2,9.326063745625609
84,27487880,102,3,32,15.25542703370679
85,10200000,35,1,5,18.83289546648304
86,8199999,43,2,5,17.898082471089335
87,15000000,40,1,9,12.165892395528676
88,30904483,58,2,7,3.3745231122214925
89,15000000,87,3,2,17.685639695438855
90,13000000,40,1,18,13.724034550993911
91,9400000,50,2,6,18.25111151475028
92,38700000,97,3,29,7.5733160308866205
93,34200000,75,3,12,3.8364939147762853
94,14054274,44,2,15,6.446347376933833
95,126986160,181,4,34,7.919987724897881
96,7500000,38,1,24,25.612671844970357
97,4499000,28,1,9,30.93504391149047
98,65718900,159,3,23,11.19221665583734
99,59725032,107,4,7,7.340130457227921
100,41020512,71,2,8,5.1495854213403
101,7000000,39,1,10,19.421770187665672
102,13300000,68,2,2,15.14473650503285
103,12800000,50,2,7,14.618187881340706
104,8999900,45,1,19,17.26861388556309
105,13430348,59,2,6,25.927801713266398
106,5200000,19,1,5,23.88160783833607
107,33000000,101,4,9,10.859923865450487
108,5487560,31,1,14,23.047884073195434
109,99000000,144,4,21,7.919987724897881
110,64900000,120,3,3,8.257976711213189
111,73000000,104,3,16,9.689648538623997
112,13817440,40,2,3,11.102183345590383
113,13600000,85,3,12,20.001272859168427
114,23000000,104,3,7,16.0938769562446
115,14093644,54,2,6,21.023299833495376
116,11800000,37,1,14,4.728719953483254
117,50000000,84,3,2,3.9844867640465687
118,30818150,69,2,12,10.894969963221156
119,15000000,45,1,2,5.438272280434542
120,10050000,44,2,1,13.93875071485029
121,43900000,130,3,16,3.290177102802649
122,13200000,50,2,4,14.983712370342376
123,9500000,62,3,9,21.965450425721176
124,26000000,77,2,7,13.158926839877667
125,20000000,64,3,4,6.564482106899154
126,9450000,64,2,12,24.33613891440042
127,7100000,58,2,5,31.505500505452964
128,4700000,19,1,1,16.283893078616412
129,5500000,37,1,3,31.073018617116883
130,23836800,62,2,38,10.060173488189893
131,14480000,64,3,1,14.23824159430411
132,35897600,79,2,29,10.894969963221156
133,10423970,37,2,14,21.058957935821685
134,18300000,40,1,4,5.698447192077534
135,21600000,61,3,8,4.240925358587473
136,7999000,21,1,23,12.288919378842213
137,30384875,84,3,2,8.382181234011131
138,9890000,32,1,7,15.574185546960253
139,12750000,40,1,14,22.54235097387859
